scope	from	relation	to	evidence_path	evidence_kind	reviewed_revision	status	notes
lesson_repository_assembly	FakeLessonRepository	depends_on	CanonicalLessonOrder	app/src/main/java/com/stemcampathome/data/FakeCampData.kt	source_property_initializer	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Assigns lessonOrder from the canonical top-level property; cross-checked against docs/wiki/project/MODULES.md.
lesson_repository_assembly	FakeLessonRepository	depends_on	LessonContentDays.byDayNumber	app/src/main/java/com/stemcampathome/data/FakeCampData.kt	source_qualified_property_access	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Looks up detailed content by each canonical appDayNumber; cross-checked against docs/wiki/project/MODULES.md.
viewmodel_constructor	StemCampNavViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/navigation/StemCampNavViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	WelcomeViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/welcome/WelcomeViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	LessonOverviewViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/lessons/LessonOverviewViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	ActivitiesListViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/lessons/ActivitiesListViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	ActivityDetailViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/lessons/ActivityDetailViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	ParentScriptViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/script/ParentScriptViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	UnlockBundlesViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/unlock/UnlockBundlesViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
viewmodel_constructor	TodayViewModel	depends_on	LessonRepository	app/src/main/java/com/stemcampathome/ui/screens/today/TodayViewModel.kt	source_constructor_parameter	fcfd4afeb846775f01fa02321e1aa5d1e39cf33d	Draft	Directly inspected @Inject constructor dependency documented in docs/wiki/project/MODULES.md.
